gid,objectid,statefp,placefp,geoid,name,namelsad,geonum,x,y,geom
40,40,08,63045,0863045,Raymer (New Raymer),Raymer (New Raymer) town,10863045,-103.844,40.6078,0101000020AD100000D6D88D7B09F659C05A64F904CB4D4440
41,41,08,37820,0837820,Hudson,Hudson town,10837820,-104.627,40.0891,0101000020AD100000B40302D422285AC053E7B227670B4440
42,42,08,45970,0845970,Longmont,Longmont city,10845970,-105.099,40.1693,0101000020AD10000092A306485B465AC0EF6F64FDA9154440
43,43,08,22860,0822860,Eaton,Eaton town,10822860,-104.713,40.5252,0101000020AD10000069F3DCD3A62D5AC0A380482439434440
44,44,08,40515,0840515,Kersey,Kersey town,10840515,-104.566,40.3874,0101000020AD1000007CEC912837245AC0AD15D03E97314440
45,45,08,82350,0882350,Walsenburg,Walsenburg city,10882350,-104.782,37.6306,0101000020AD1000004548D2B607325AC06539BC72B7D04240
46,46,08,19355,0819355,De Beque,De Beque town,10819355,-108.195,39.2879,0101000020AD10000051559C897E0C5BC0298B8762D9A44340
47,47,08,34520,0834520,Hartman,Hartman town,10834520,-102.222,38.1211,0101000020AD1000004200188C2F8E59C0C9A1DACD800F4340
48,48,08,73825,0873825,Steamboat Springs,Steamboat Springs city,10873825,-106.823,40.4774,0101000020AD10000083FCCAD7B0B45AC00C8BC5E91B3D4440
49,49,08,09115,0809115,Brookside,Brookside town,10809115,-105.191,38.4135,0101000020AD100000954D69533A4C5AC0F11702FBEE344340
50,50,08,11810,0811810,Cañon City,Cañon City city,10811810,-105.22,38.443,0101000020AD100000CAA59165154E5AC0A5D34A34B5384340
51,51,08,08400,0808400,Breckenridge,Breckenridge town,10808400,-106.043,39.4996,0101000020AD10000002916E3EC5825AC028CF8CB3F3BF4340
52,52,08,51690,0851690,Montezuma,Montezuma town,10851690,-105.868,39.5817,0101000020AD10000076D0B9788E775AC0463BCE5A75CA4340
53,53,08,82130,0882130,Walden,Walden town,10882130,-106.281,40.7316,0101000020AD100000CE5AB46901925AC0A07B5B8BA45D4440
54,54,08,11645,0811645,Campo,Campo town,10811645,-102.579,37.1047,0101000020AD10000006D266080BA559C022FD0230678D4240
55,55,08,06530,0806530,Bethune,Bethune town,10806530,-102.423,39.3038,0101000020AD100000C7E5BA38199B59C00C448EA6E3A64340
56,56,08,10600,0810600,Burlington,Burlington city,10810600,-102.271,39.3045,0101000020AD10000045F46CA55F9159C0D061BF8DF9A64340
57,57,08,57630,0857630,Parker,Parker town,10857630,-104.774,39.5074,0101000020AD10000030DE4D6490315AC0CCA23E9BF1C04340
58,58,08,56420,0856420,Ouray,Ouray city,10856420,-107.674,38.0274,0101000020AD100000B3ECDAF11BEB5AC03CE1AFD882034340
59,59,08,03620,0803620,Aspen,Aspen city,10803620,-106.837,39.195,0101000020AD100000D9F0C77891B55AC04DF65A2AF4984340
60,60,08,71755,0871755,Snowmass Village,Snowmass Village town,10871755,-106.939,39.2202,0101000020AD100000650CDA1D1DBC5AC0B0B9F726319C4340
61,61,08,14175,0814175,Cheyenne Wells,Cheyenne Wells town,10814175,-102.352,38.8192,0101000020AD10000052B0A0A8879659C028455C98DB684340
62,62,08,11260,0811260,Calhan,Calhan town,10811260,-104.299,39.0344,0101000020AD1000009E488F1425135AC063B73A7768844340
63,63,08,16000,0816000,Colorado Springs,Colorado Springs city,10816000,-104.761,38.8673,0101000020AD100000400B2B3EAE305AC0399887E2026F4340
64,64,08,27975,0827975,Fowler,Fowler town,10827975,-104.026,38.1296,0101000020AD100000AC7C9EA1A4015AC052954BBD97104340
65,65,08,26765,0826765,Flagler,Flagler town,10826765,-103.077,39.2955,0101000020AD1000006C5A7FC3E8C459C0A5296AA4D2A54340
66,66,08,74485,0874485,Stratton,Stratton town,10874485,-102.603,39.3029,0101000020AD100000CA2D694E9FA659C0B3C317DEC4A64340
67,67,08,27810,0827810,Fort Morgan,Fort Morgan city,10827810,-103.791,40.256,0101000020AD100000D9937D769AF259C05041CD10C5204440
68,68,08,19850,0819850,Delta,Delta city,10819850,-108.077,38.7561,0101000020AD100000FBA98777F3045BC0A8F4333BC8604340
69,69,08,65190,0865190,Rocky Ford,Rocky Ford city,10865190,-103.723,38.05,0101000020AD1000004627B2053FEE59C032A5AB1066064340
70,70,08,75970,0875970,Swink,Swink town,10875970,-103.628,38.0141,0101000020AD100000872919D133E859C0AE59D799CF014340
71,71,08,38590,0838590,Iliff,Iliff town,10838590,-103.066,40.7583,0101000020AD1000002258706F3BC459C0DB074E0B11614440
72,72,08,73935,0873935,Sterling,Sterling city,10873935,-103.192,40.6207,0101000020AD10000039A6029D47CC59C02EEC3841734F4440
73,73,08,27865,0827865,Fountain,Fountain city,10827865,-104.674,38.6863,0101000020AD100000ED64E7FA272B5AC0E0EF24BED9574340
74,74,08,51800,0851800,Monument,Monument town,10851800,-104.847,39.0736,0101000020AD100000E162C79132365AC005E3EE066C894340
75,75,08,86090,0886090,Woodland Park,Woodland Park city,10886090,-105.06,38.9987,0101000020AD100000CBC4C672CF435AC0ED8077A7D57F4340
76,76,08,81690,0881690,Vona,Vona town,10881690,-102.743,39.3021,0101000020AD10000016EE891293AF59C04D2E12DAABA64340
77,77,08,74815,0874815,Sugar City,Sugar City town,10874815,-103.663,38.2328,0101000020AD10000067A108B473EA59C04E89B884CB1D4340
78,78,08,18750,0818750,Crowley,Crowley town,10818750,-103.86,38.1935,0101000020AD100000585CFE0906F759C0DFCEB0CDC4184340
79,79,08,55705,0855705,Olney Springs,Olney Springs town,10855705,-103.944,38.1663,0101000020AD100000C8293A8C72FC59C0EAA9957648154340
80,80,08,56145,0856145,Ordway,Ordway town,10856145,-103.757,38.2209,0101000020AD100000C33BD86F6DF059C0F5215166461C4340
81,81,08,51745,0851745,Montrose,Montrose city,10851745,-107.861,38.4692,0101000020AD100000B2F2DC7C15F75AC0342F69FE0D3C4340
82,82,08,70635,0870635,Simla,Simla town,10870635,-104.082,39.1411,0101000020AD10000000E1B6743B055AC08F4BDAF80D924340
